fromLocationId,toLocationId,distance,travelTime,roadConditionWeight
1001,1002,0.30,180,1.0
1002,1003,0.30,180,1.0
1003,1004,0.30,180,1.0
1004,1005,0.30,180,1.0
1005,1006,0.30,180,1.0
1006,1007,0.30,180,1.0
1007,1008,0.30,180,1.0
1008,1009,0.30,180,1.0
1009,1010,0.30,180,1.0
1010,1011,0.30,180,1.0
1011,1012,0.30,180,1.0
1012,1013,0.30,180,1.0
1013,1014,0.30,180,1.0
1014,1015,0.30,180,1.0
1015,1016,0.30,180,1.0
1016,1017,0.30,180,1.0
1017,1018,0.30,180,1.0
1018,1019,0.30,180,1.0
1019,1020,0.30,180,1.0
1020,1021,0.30,180,1.0
1021,1022,0.30,180,1.0
1022,1023,0.30,180,1.0
1023,1024,0.30,180,1.0
1024,1025,0.30,180,1.0
1025,1026,0.30,180,1.0
1026,1027,0.30,180,1.0
1027,1028,0.30,180,1.0
1028,1029,0.30,180,1.0
1029,1030,0.30,180,1.0
1030,1031,0.30,180,1.0
1031,1032,0.30,180,1.0
1032,1033,0.30,180,1.0
1033,1034,0.30,180,1.0
1034,1035,0.30,180,1.0
1035,1036,0.30,180,1.0
1036,1037,0.30,180,1.0
1037,1038,0.30,180,1.0
1038,1039,0.30,180,1.0
1039,1040,0.30,180,1.0
1040,1041,0.30,180,1.0
1041,1042,0.30,180,1.0
1042,1043,0.30,180,1.0
1043,1044,0.30,180,1.0
1044,1045,0.30,180,1.0
1045,1046,0.30,180,1.0
1046,1047,0.30,180,1.0
1047,1048,0.30,180,1.0
1048,1049,0.30,180,1.0
1049,1050,0.30,180,1.0
1050,1051,0.30,180,1.0
1051,1052,0.30,180,1.0
1052,1053,0.30,180,1.0
1053,1054,0.30,180,1.0
1054,1055,0.30,180,1.0
1047,1055,0.50,240,1.2
1011,1025,0.50,240,1.2
1051,1005,0.50,240,1.2
1039,1030,0.50,240,1.2
1011,1055,0.50,240,1.2
1016,1053,0.50,240,1.2
1019,1052,0.50,240,1.2
1046,1048,0.50,240,1.2
1032,1034,0.50,240,1.2
1038,1040,0.50,240,1.2
1043,1030,0.50,240,1.2
1034,1012,0.50,240,1.2
1019,1020,0.50,240,1.2
1055,1001,0.50,240,1.2
1042,1037,0.50,240,1.2
1014,1024,0.50,240,1.2
1055,1042,0.50,240,1.2
1036,1033,0.50,240,1.2
1024,1007,0.50,240,1.2
1042,1035,0.50,240,1.2
1051,1021,0.50,240,1.2
1014,1003,0.50,240,1.2
1009,1011,0.50,240,1.2
1018,1035,0.50,240,1.2
1047,1033,0.50,240,1.2
1013,1051,0.50,240,1.2
1055,1011,0.50,240,1.2
1005,1048,0.50,240,1.2
1014,1036,0.50,240,1.2
1047,1003,0.50,240,1.2
1005,1036,0.50,240,1.2
1017,1035,0.50,240,1.2
1018,1026,0.50,240,1.2
1021,1001,0.50,240,1.2
1015,1048,0.50,240,1.2
1025,1043,0.50,240,1.2
1008,1016,0.50,240,1.2
1010,1017,0.50,240,1.2
1016,1012,0.50,240,1.2
1042,1039,0.50,240,1.2
1052,1015,0.50,240,1.2
1043,1037,0.50,240,1.2
1038,1032,0.50,240,1.2
1024,1037,0.50,240,1.2
1006,1049,0.50,240,1.2
1017,1049,0.50,240,1.2
1008,1048,0.50,240,1.2
1042,1027,0.50,240,1.2
1011,1050,0.50,240,1.2
1006,1026,0.50,240,1.2
1009,1017,0.50,240,1.2
1022,1038,0.50,240,1.2
1006,1048,0.50,240,1.2
1006,1041,0.50,240,1.2
1045,1044,0.50,240,1.2
1038,1047,0.50,240,1.2
1008,1025,0.50,240,1.2
1044,1001,0.50,240,1.2
1008,1033,0.50,240,1.2
1009,1036,0.50,240,1.2
1037,1025,0.50,240,1.2
1013,1028,0.50,240,1.2
1043,1002,0.50,240,1.2
1049,1010,0.50,240,1.2
1008,1037,0.50,240,1.2
1022,1036,0.50,240,1.2
1037,1047,0.50,240,1.2
1052,1045,0.50,240,1.2
1036,1054,0.50,240,1.2
1032,1036,0.50,240,1.2
