requestId,source,destination,category,urgency,timeSubmitted,deadline,status
CLN0001,1041,1041,Cleaning,4,2026-08-01T09:03:00,2026-08-02T10:00,open
CLN0002,1009,1009,Cleaning,5,2026-08-01T10:06:00,2026-08-02T11:00,open
CLN0003,1026,1026,Cleaning,1,2026-08-01T11:09:00,2026-08-02T12:00,open
CLN0004,1046,1046,Cleaning,4,2026-08-01T12:12:00,2026-08-02T13:00,open
CLN0005,1055,1055,Cleaning,4,2026-08-01T13:15:00,2026-08-02T14:00,pending
CLN0006,1023,1023,Cleaning,3,2026-08-01T14:18:00,2026-08-02T15:00,open
CLN0007,1047,1047,Cleaning,3,2026-08-01T15:21:00,2026-08-02T16:00,closed
CLN0008,1047,1047,Cleaning,3,2026-08-01T08:24:00,2026-08-02T17:00,open
CLN0009,1027,1027,Cleaning,1,2026-08-01T09:27:00,2026-08-02T18:00,open
CLN0010,1034,1034,Cleaning,5,2026-08-01T10:30:00,2026-08-02T09:00,pending
CLN0011,1011,1011,Cleaning,4,2026-08-01T11:33:00,2026-08-02T10:00,open
CLN0012,1037,1037,Cleaning,4,2026-08-01T12:36:00,2026-08-02T11:00,open
CLN0013,1024,1024,Cleaning,2,2026-08-01T13:39:00,2026-08-02T12:00,open
CLN0014,1011,1011,Cleaning,4,2026-08-01T14:42:00,2026-08-02T13:00,closed
CLN0015,1038,1038,Cleaning,2,2026-08-01T15:45:00,2026-08-02T14:00,pending
CLN0016,1001,1001,Cleaning,2,2026-08-01T08:48:00,2026-08-02T15:00,open
CLN0017,1046,1046,Cleaning,1,2026-08-01T09:51:00,2026-08-02T16:00,open
CLN0018,1033,1033,Cleaning,3,2026-08-01T10:54:00,2026-08-02T17:00,open
CLN0019,1033,1033,Cleaning,4,2026-08-01T11:57:00,2026-08-02T18:00,open
CLN0020,1044,1044,Cleaning,5,2026-08-01T12:00:00,2026-08-02T09:00,pending
CLN0021,1025,1025,Cleaning,1,2026-08-01T13:03:00,2026-08-02T10:00,closed
CLN0022,1024,1024,Cleaning,3,2026-08-01T14:06:00,2026-08-02T11:00,open
CLN0023,1011,1011,Cleaning,5,2026-08-01T15:09:00,2026-08-02T12:00,open
CLN0024,1013,1013,Cleaning,1,2026-08-01T08:12:00,2026-08-02T13:00,open
CLN0025,1008,1008,Cleaning,4,2026-08-01T09:15:00,2026-08-02T14:00,pending
CLN0026,1049,1049,Cleaning,1,2026-08-01T10:18:00,2026-08-02T15:00,open
CLN0027,1009,1009,Cleaning,2,2026-08-01T11:21:00,2026-08-02T16:00,open
CLN0028,1036,1036,Cleaning,1,2026-08-01T12:24:00,2026-08-02T17:00,closed
CLN0029,1034,1034,Cleaning,5,2026-08-01T13:27:00,2026-08-02T18:00,open
CLN0030,1017,1017,Cleaning,4,2026-08-01T14:30:00,2026-08-02T09:00,pending
CLN0031,1013,1013,Cleaning,5,2026-08-01T15:33:00,2026-08-02T10:00,open
CLN0032,1038,1038,Cleaning,2,2026-08-01T08:36:00,2026-08-02T11:00,open
CLN0033,1005,1005,Cleaning,5,2026-08-01T09:39:00,2026-08-02T12:00,open
CLN0034,1039,1039,Cleaning,5,2026-08-01T10:42:00,2026-08-02T13:00,open
CLN0035,1046,1046,Cleaning,5,2026-08-01T11:45:00,2026-08-02T14:00,closed
CLN0036,1006,1006,Cleaning,2,2026-08-01T12:48:00,2026-08-02T15:00,open
CLN0037,1014,1014,Cleaning,5,2026-08-01T13:51:00,2026-08-02T16:00,open
CLN0038,1024,1024,Cleaning,4,2026-08-01T14:54:00,2026-08-02T17:00,open
CLN0039,1052,1052,Cleaning,1,2026-08-01T15:57:00,2026-08-02T18:00,open
CLN0040,1011,1011,Cleaning,4,2026-08-01T08:00:00,2026-08-02T09:00,pending
CLN0041,1011,1011,Cleaning,5,2026-08-01T09:03:00,2026-08-02T10:00,open
CLN0042,1034,1034,Cleaning,3,2026-08-01T10:06:00,2026-08-02T11:00,closed
CLN0043,1003,1003,Cleaning,4,2026-08-01T11:09:00,2026-08-02T12:00,open
CLN0044,1020,1020,Cleaning,5,2026-08-01T12:12:00,2026-08-02T13:00,open
CLN0045,1029,1029,Cleaning,5,2026-08-01T13:15:00,2026-08-02T14:00,pending
CLN0046,1013,1013,Cleaning,2,2026-08-01T14:18:00,2026-08-02T15:00,open
CLN0047,1009,1009,Cleaning,1,2026-08-01T15:21:00,2026-08-02T16:00,open
CLN0048,1015,1015,Cleaning,4,2026-08-01T08:24:00,2026-08-02T17:00,open
CLN0049,1050,1050,Cleaning,2,2026-08-01T09:27:00,2026-08-02T18:00,closed
CLN0050,1037,1037,Cleaning,4,2026-08-01T10:30:00,2026-08-02T09:00,pending
CLN0051,1041,1041,Cleaning,1,2026-08-01T11:33:00,2026-08-02T10:00,open
CLN0052,1033,1033,Cleaning,5,2026-08-01T12:36:00,2026-08-02T11:00,open
CLN0053,1034,1034,Cleaning,2,2026-08-01T13:39:00,2026-08-02T12:00,open
CLN0054,1015,1015,Cleaning,2,2026-08-01T14:42:00,2026-08-02T13:00,open
CLN0055,1001,1001,Cleaning,3,2026-08-01T15:45:00,2026-08-02T14:00,pending
CLN0056,1032,1032,Cleaning,5,2026-08-01T08:48:00,2026-08-02T15:00,closed
CLN0057,1008,1008,Cleaning,2,2026-08-01T09:51:00,2026-08-02T16:00,open
CLN0058,1027,1027,Cleaning,1,2026-08-01T10:54:00,2026-08-02T17:00,open
