Category,Algorithm,InputSize,Comparisons,Swaps,ShiftsOrCopies,MaxRecursionDepth,TimeMs,TimeNs,MemoryKb
Search,Linear Search,100,51,0,0,0,0.0031,3066,0
Search,Binary Search,100,6,0,0,0,0.0011,1066,0
Search,Linear Search,500,251,0,0,0,0.0210,20966,0
Search,Binary Search,500,9,0,0,0,0.0013,1266,0
Search,Linear Search,1000,501,0,0,0,0.0225,22466,0
Search,Binary Search,1000,9,0,0,0,0.0011,1066,0
Search,Linear Search,5000,2501,0,0,0,0.0630,62966,0
Search,Binary Search,5000,11,0,0,0,0.0011,1133,0
Search,Linear Search,10000,5001,0,0,0,0.1260,126000,0
Search,Binary Search,10000,12,0,0,0,0.0018,1766,0
Sort,Selection Sort,100,4950,94,0,0,0.2346,234600,0
Sort,Insertion Sort,100,2629,0,2631,0,0.1724,172366,0
Sort,Merge Sort,100,543,0,1444,7,0.1233,123333,0
Sort,Quick Sort,100,533,371,0,10,0.1070,106966,0
Sort,Selection Sort,500,124750,492,0,0,1.6101,1610100,0
Sort,Insertion Sort,500,61730,0,61734,0,1.8989,1898933,0
Sort,Merge Sort,500,3857,0,9476,9,0.1552,155166,0
Sort,Quick Sort,500,3998,2572,0,15,0.1193,119300,0
Sort,Selection Sort,1000,499500,993,0,0,0.7180,717966,0
Sort,Insertion Sort,1000,246282,0,246287,0,0.5910,591000,0
Sort,Merge Sort,1000,8695,0,20952,10,0.2960,295966,0
Sort,Quick Sort,1000,9040,5481,0,17,0.1735,173500,0
Sort,Selection Sort,5000,12497500,4989,0,0,10.0201,10020133,0
Sort,Insertion Sort,5000,6266604,0,6266608,0,5.5474,5547366,0
Sort,Merge Sort,5000,55247,0,128616,13,0.5519,551900,0
Sort,Quick Sort,5000,60776,35471,0,22,0.4428,442800,0
Sort,Selection Sort,10000,49995000,9992,0,0,35.1105,35110466,0
Sort,Insertion Sort,10000,25081335,0,25081343,0,19.9580,19958033,0
Sort,Merge Sort,10000,120463,0,277232,14,1.3649,1364900,0
Sort,Quick Sort,10000,135012,75214,0,23,0.9362,936233,0
