resourceId,type,homeLocation,capacity,availabilityStatus
RESC001,Cleaner,1002,1,available
RESC002,Cleaner,1003,1,available
RESC003,Cleaner,1004,1,available
RESC004,Cleaner,1005,1,available
RESC005,Cleaner,1006,1,available
RESC006,Cleaner,1007,1,available
RESC007,Cleaner,1008,1,available
RESC008,Cleaner,1009,1,available
RESC009,Cleaner,1010,1,available
RESC010,Cleaner,1011,1,available
RESC011,Cleaner,1012,1,available
RESC012,Cleaner,1013,1,available
RESC013,Cleaner,1014,1,available
RESC014,Cleaner,1015,1,available
RESC015,Cleaner,1016,1,available
RESC016,CleaningTeam,1017,3,available
RESC017,CleaningTeam,1018,4,available
RESC018,CleaningTeam,1019,5,available
RESC019,CleaningTeam,1020,6,available
RESC020,CleaningTeam,1021,3,available
RESC021,CleaningTeam,1022,4,available
RESC022,CleaningTeam,1023,5,available
RESC023,CleaningTeam,1024,6,available
RESC024,CleaningTeam,1025,3,available
RESC025,CleaningTeam,1026,4,available
RESC026,Equipment,1027,31,available
RESC027,Equipment,1028,32,unavailable
RESC028,Equipment,1029,33,available
RESC029,Equipment,1030,34,unavailable
RESC030,Equipment,1031,35,available
